Currency,Date,Open,High,Low,Close,Volume,Market Cap
tezos,4-Dec-19,1.29,1.32,1.25,1.25,"46,048,752","824,588,509"
tezos,3-Dec-19,1.24,1.32,1.21,1.29,"41,462,224","853,213,342"
tezos,2-Dec-19,1.25,1.26,1.2,1.24,"27,574,097","817,872,179"
tezos,1-Dec-19,1.33,1.34,1.25,1.25,"24,127,567","828,296,390"
tezos,30-Nov-19,1.31,1.37,1.31,1.33,"28,706,667","879,181,680"
tezos,29-Nov-19,1.28,1.34,1.28,1.31,"32,270,224","867,085,098"
tezos,28-Nov-19,1.26,1.35,1.22,1.28,"44,240,281","845,073,679"
tezos,27-Nov-19,1.24,1.27,1.16,1.26,"47,723,271","829,672,736"
tezos,26-Nov-19,1.24,1.28,1.23,1.24,"54,828,808","822,065,277"
tezos,25-Nov-19,1.33,1.33,1.21,1.24,"64,954,006","815,688,075"
tezos,24-Nov-19,1.4,1.42,1.31,1.34,"49,206,070","887,731,654"
tezos,23-Nov-19,1.22,1.42,1.22,1.39,"123,832,790","920,735,790"
tezos,22-Nov-19,1.21,1.28,1.08,1.22,"69,312,275","804,427,044"
tezos,21-Nov-19,1.21,1.29,1.18,1.21,"53,020,027","800,257,863"
tezos,20-Nov-19,1.22,1.25,1.17,1.21,"33,605,071","801,174,969"
tezos,19-Nov-19,1.23,1.25,1.15,1.22,"35,796,763","805,231,584"
tezos,18-Nov-19,1.16,1.26,1.16,1.23,"37,602,915","813,744,878"
tezos,17-Nov-19,1.16,1.18,1.15,1.16,"22,483,167","767,707,353"
tezos,16-Nov-19,1.17,1.18,1.16,1.16,"26,689,028","768,303,560"
tezos,15-Nov-19,1.22,1.26,1.15,1.17,"32,203,363","773,992,543"
tezos,14-Nov-19,1.13,1.3,1.11,1.22,"41,978,349","808,582,829"
tezos,13-Nov-19,1.17,1.17,1.12,1.13,"23,410,839","746,750,215"
tezos,12-Nov-19,1.18,1.2,1.15,1.17,"23,591,140","771,905,281"
tezos,11-Nov-19,1.23,1.24,1.17,1.18,"25,012,739","776,358,941"
tezos,10-Nov-19,1.25,1.25,1.19,1.23,"31,134,799","812,505,004"
tezos,9-Nov-19,1.17,1.26,1.15,1.24,"34,760,712","819,630,519"
tezos,8-Nov-19,1.22,1.28,1.12,1.17,"44,195,683","770,094,896"
tezos,7-Nov-19,1.02,1.44,1.02,1.22,"92,805,360","805,246,128"
tezos,6-Nov-19,0.927547,1.05,0.902417,1.02,"26,095,931","673,756,212"
tezos,5-Nov-19,0.891802,0.929289,0.877752,0.927137,"13,420,498","612,256,490"
tezos,4-Nov-19,0.868023,0.907127,0.8646,0.891802,"16,511,023","588,922,638"
tezos,3-Nov-19,0.865785,0.874167,0.848911,0.868879,"11,444,717","573,784,519"
tezos,2-Nov-19,0.878443,0.886302,0.857435,0.865528,"9,944,483","571,571,532"
tezos,1-Nov-19,0.889461,0.891029,0.863507,0.877941,"12,684,201","579,768,933"
tezos,31-Oct-19,0.914068,0.924062,0.873981,0.890512,"13,120,625","588,070,905"
tezos,30-Oct-19,0.878168,0.969414,0.774601,0.914079,"23,084,998","603,633,344"
tezos,29-Oct-19,0.871995,0.917937,0.82545,0.878892,"19,713,852","580,397,277"
tezos,28-Oct-19,0.879748,0.928777,0.768318,0.875315,"24,337,121","578,034,790"
tezos,27-Oct-19,0.836378,0.890216,0.688631,0.875154,"23,186,370","577,928,349"
tezos,26-Oct-19,0.833823,0.92603,0.818766,0.831994,"20,293,463","549,426,804"
tezos,25-Oct-19,0.767532,0.842798,0.762231,0.834757,"16,862,309","551,251,771"
tezos,24-Oct-19,0.761316,0.780364,0.754028,0.768243,"14,425,427","507,327,662"
tezos,23-Oct-19,0.838904,0.839336,0.755143,0.761316,"14,131,553","502,752,829"
tezos,22-Oct-19,0.870816,0.879914,0.833186,0.838575,"11,567,380","553,772,790"
tezos,21-Oct-19,0.877297,0.889119,0.866837,0.871432,"11,434,852","575,470,528"
tezos,20-Oct-19,0.86545,0.884321,0.861892,0.877438,"9,297,806","579,437,174"
tezos,19-Oct-19,0.879461,0.890271,0.861758,0.865266,"10,127,092","571,399,102"
bitcoin,4-Dec-19,"7,320.13","7,539.78","7,170.92","7,252.03","21,664,240,918","131,143,073,943"
bitcoin,3-Dec-19,"7,323.98","7,418.86","7,229.36","7,320.15","14,797,485,769","132,359,942,301"
bitcoin,2-Dec-19,"7,424.04","7,474.82","7,233.40","7,321.99","17,082,040,706","132,378,982,377"
bitcoin,1-Dec-19,"7,571.62","7,571.62","7,291.34","7,424.29","18,720,708,479","134,215,145,410"
bitcoin,30-Nov-19,"7,764.06","7,836.10","7,515.85","7,569.63","17,158,194,786","136,829,391,049"
bitcoin,29-Nov-19,"7,466.73","7,781.18","7,460.76","7,761.24","19,709,695,456","140,280,108,521"
bitcoin,28-Nov-19,"7,536.82","7,730.07","7,454.12","7,463.11","19,050,116,751","134,879,411,013"
bitcoin,27-Nov-19,"7,220.88","7,619.69","6,974.17","7,531.66","23,991,412,764","136,102,712,894"
bitcoin,26-Nov-19,"7,145.16","7,320.23","7,098.57","7,218.37","21,129,505,542","130,429,018,720"
bitcoin,25-Nov-19,"7,039.98","7,319.86","6,617.17","7,146.13","42,685,231,262","129,112,952,930"
bitcoin,24-Nov-19,"7,398.63","7,408.58","7,029.29","7,047.92","30,433,517,289","127,327,398,565"
bitcoin,23-Nov-19,"7,296.16","7,442.26","7,151.42","7,397.80","21,008,924,418","133,636,205,957"
bitcoin,22-Nov-19,"7,643.57","7,697.38","6,936.71","7,296.58","34,242,315,785","131,791,783,672"
bitcoin,21-Nov-19,"8,023.64","8,110.10","7,597.38","7,642.75","22,514,243,371","138,031,885,379"
bitcoin,20-Nov-19,"8,203.61","8,237.24","8,010.51","8,027.27","20,764,300,437","144,962,727,398"
bitcoin,19-Nov-19,"8,305.13","8,408.52","8,099.96","8,206.15","21,083,613,816","148,178,376,843"
bitcoin,18-Nov-19,"8,573.98","8,653.28","8,273.57","8,309.29","21,579,470,673","150,025,712,267"
bitcoin,17-Nov-19,"8,549.47","8,727.79","8,500.97","8,577.98","18,668,638,897","154,861,842,425"
bitcoin,16-Nov-19,"8,491.17","8,592.00","8,473.97","8,550.76","16,495,389,808","154,354,054,194"
bitcoin,15-Nov-19,"8,705.71","8,730.87","8,484.84","8,491.99","21,796,856,471","153,277,483,626"
